kegg_pathway	entrezgene	kegg_pathway_definition
00520	PA3759	Amino sugar and nucleotide sugar metabolism
00520	PA3761	Amino sugar and nucleotide sugar metabolism
00520	PA4068	Amino sugar and nucleotide sugar metabolism
00520	PA4450	Amino sugar and nucleotide sugar metabolism
00520	PA4732	Amino sugar and nucleotide sugar metabolism
00520	PA4749	Amino sugar and nucleotide sugar metabolism
00520	PA5236	Amino sugar and nucleotide sugar metabolism
00520	PA5322	Amino sugar and nucleotide sugar metabolism
00520	PA5452	Amino sugar and nucleotide sugar metabolism
00520	PA5453	Amino sugar and nucleotide sugar metabolism
00520	PA5454	Amino sugar and nucleotide sugar metabolism
00520	PA5549	Amino sugar and nucleotide sugar metabolism
00520	PA5552	Amino sugar and nucleotide sugar metabolism
00521	PA3193	Streptomycin biosynthesis
00521	PA3818	Streptomycin biosynthesis
00521	PA4069	Streptomycin biosynthesis
00521	PA5161	Streptomycin biosynthesis
00521	PA5162	Streptomycin biosynthesis
00521	PA5163	Streptomycin biosynthesis
00521	PA5164	Streptomycin biosynthesis
00521	PA5322	Streptomycin biosynthesis
00523	PA4069	Polyketide sugar unit biosynthesis
00523	PA5161	Polyketide sugar unit biosynthesis
00523	PA5162	Polyketide sugar unit biosynthesis
00523	PA5163	Polyketide sugar unit biosynthesis
00523	PA5164	Polyketide sugar unit biosynthesis
00525	PA5161	Acarbose and validamycin biosynthesis
00525	PA5163	Acarbose and validamycin biosynthesis
00540	PA0006	Lipopolysaccharide biosynthesis
00540	PA0011	Lipopolysaccharide biosynthesis
00540	PA0936	Lipopolysaccharide biosynthesis
00540	PA1792	Lipopolysaccharide biosynthesis
00540	PA1972	Lipopolysaccharide biosynthesis
00540	PA2979	Lipopolysaccharide biosynthesis
00540	PA2981	Lipopolysaccharide biosynthesis
00540	PA3242	Lipopolysaccharide biosynthesis
00540	PA3310	Lipopolysaccharide biosynthesis
00540	PA3337	Lipopolysaccharide biosynthesis
00540	PA3556	Lipopolysaccharide biosynthesis
00540	PA3636	Lipopolysaccharide biosynthesis
00540	PA3643	Lipopolysaccharide biosynthesis
00540	PA3644	Lipopolysaccharide biosynthesis
00540	PA3646	Lipopolysaccharide biosynthesis
00540	PA4406	Lipopolysaccharide biosynthesis
00540	PA4425	Lipopolysaccharide biosynthesis
00540	PA4457	Lipopolysaccharide biosynthesis
00540	PA4458	Lipopolysaccharide biosynthesis
00540	PA4512	Lipopolysaccharide biosynthesis
00540	PA4517	Lipopolysaccharide biosynthesis
00540	PA4661	Lipopolysaccharide biosynthesis
00540	PA4988	Lipopolysaccharide biosynthesis
00540	PA4996	Lipopolysaccharide biosynthesis
00540	PA5009	Lipopolysaccharide biosynthesis
00540	PA5010	Lipopolysaccharide biosynthesis
00540	PA5011	Lipopolysaccharide biosynthesis
00540	PA5012	Lipopolysaccharide biosynthesis
00540	PA5194	Lipopolysaccharide biosynthesis
00550	PA0378	Peptidoglycan biosynthesis
00550	PA1959	Peptidoglycan biosynthesis
00550	PA2272	Peptidoglycan biosynthesis
00550	PA2977	Peptidoglycan biosynthesis
00550	PA3047	Peptidoglycan biosynthesis
00550	PA3652	Peptidoglycan biosynthesis
00550	PA3999	Peptidoglycan biosynthesis
00550	PA4003	Peptidoglycan biosynthesis
00550	PA4201	Peptidoglycan biosynthesis
00550	PA4410	Peptidoglycan biosynthesis
00550	PA4411	Peptidoglycan biosynthesis
00550	PA4412	Peptidoglycan biosynthesis
00550	PA4414	Peptidoglycan biosynthesis
00550	PA4415	Peptidoglycan biosynthesis
00550	PA4416	Peptidoglycan biosynthesis
00550	PA4417	Peptidoglycan biosynthesis
00550	PA4418	Peptidoglycan biosynthesis
00550	PA4450	Peptidoglycan biosynthesis
00550	PA4700	Peptidoglycan biosynthesis
00550	PA5045	Peptidoglycan biosynthesis
00561	PA0005	Glycerolipid metabolism
00561	PA0581	Glycerolipid metabolism
00561	PA1027	Glycerolipid metabolism
00561	PA1052	Glycerolipid metabolism
00561	PA1487	Glycerolipid metabolism
00561	PA1499	Glycerolipid metabolism
00561	PA2275	Glycerolipid metabolism
00561	PA2862	Glycerolipid metabolism
00561	PA2969	Glycerolipid metabolism
00561	PA3579	Glycerolipid metabolism
00561	PA3582	Glycerolipid metabolism
00561	PA3603	Glycerolipid metabolism
00561	PA3673	Glycerolipid metabolism
00561	PA4813	Glycerolipid metabolism
00561	PA4899	Glycerolipid metabolism
00562	PA0130	Inositol phosphate metabolism
00562	PA0747	Inositol phosphate metabolism
00562	PA0844	Inositol phosphate metabolism
00562	PA3319	Inositol phosphate metabolism
00562	PA3570	Inositol phosphate metabolism
00562	PA3818	Inositol phosphate metabolism
00562	PA4748	Inositol phosphate metabolism
00564	PA0005	Glycerophospholipid metabolism
00564	PA0347	Glycerophospholipid metabolism
00564	PA0581	Glycerophospholipid metabolism
00564	PA0844	Glycerophospholipid metabolism
00564	PA1614	Glycerophospholipid metabolism
00564	PA2155	Glycerophospholipid metabolism
00564	PA2352	Glycerophospholipid metabolism
00564	PA2536	Glycerophospholipid metabolism
00564	PA2541	Glycerophospholipid metabolism
00564	PA2584	Glycerophospholipid metabolism
00564	PA2990	Glycerophospholipid metabolism
00564	PA3025	Glycerophospholipid metabolism
00564	PA3319	Glycerophospholipid metabolism
00564	PA3584	Glycerophospholipid metabolism
00564	PA3603	Glycerophospholipid metabolism
00564	PA3651	Glycerophospholipid metabolism
00564	PA3673	Glycerophospholipid metabolism
00564	PA3857	Glycerophospholipid metabolism
00564	PA4024	Glycerophospholipid metabolism
00564	PA4025	Glycerophospholipid metabolism
00564	PA4050	Glycerophospholipid metabolism
00564	PA4693	Glycerophospholipid metabolism
00564	PA4792	Glycerophospholipid metabolism
00564	PA4957	Glycerophospholipid metabolism
00564	PA5310	Glycerophospholipid metabolism
00564	PA5394	Glycerophospholipid metabolism
00565	PA0844	Ether lipid metabolism
00565	PA3026	Ether lipid metabolism
00565	PA3319	Ether lipid metabolism
00590	PA0838	Arachidonic acid metabolism
00590	PA1169	Arachidonic acid metabolism
00590	PA1287	Arachidonic acid metabolism
00590	PA2826	Arachidonic acid metabolism
00592	PA2940	alpha-Linolenic acid metabolism
00592	PA3013	alpha-Linolenic acid metabolism
00592	PA3454	alpha-Linolenic acid metabolism
00600	PA0183	Sphingolipid metabolism
00600	PA0845	Sphingolipid metabolism
00620	PA0482	Pyruvate metabolism
00620	PA0494	Pyruvate metabolism
00620	PA0710	Pyruvate metabolism
00620	PA0832	Pyruvate metabolism
00620	PA0835	Pyruvate metabolism
00620	PA0836	Pyruvate metabolism
00620	PA0854	Pyruvate metabolism
00620	PA0887	Pyruvate metabolism
00620	PA0927	Pyruvate metabolism
00620	PA0954	Pyruvate metabolism
00620	PA1027	Pyruvate metabolism
00620	PA1135	Pyruvate metabolism
00620	PA1217	Pyruvate metabolism
00620	PA1498	Pyruvate metabolism
00620	PA1587	Pyruvate metabolism
00620	PA1736	Pyruvate metabolism
00620	PA1770	Pyruvate metabolism
00620	PA1813	Pyruvate metabolism
00620	PA1984	Pyruvate metabolism
00620	PA2001	Pyruvate metabolism
00620	PA2108	Pyruvate metabolism
00620	PA2250	Pyruvate metabolism
00620	PA2382	Pyruvate metabolism
00620	PA2553	Pyruvate metabolism
00620	PA2555	Pyruvate metabolism
00620	PA3112	Pyruvate metabolism
00620	PA3415	Pyruvate metabolism
00620	PA3416	Pyruvate metabolism
00620	PA3417	Pyruvate metabolism
00620	PA3452	Pyruvate metabolism
00620	PA3471	Pyruvate metabolism
00620	PA3524	Pyruvate metabolism
00620	PA3589	Pyruvate metabolism
00620	PA3639	Pyruvate metabolism
00620	PA3687	Pyruvate metabolism
00620	PA3792	Pyruvate metabolism
00620	PA3896	Pyruvate metabolism
00620	PA3925	Pyruvate metabolism
00620	PA4022	Pyruvate metabolism
00620	PA4152	Pyruvate metabolism
00620	PA4329	Pyruvate metabolism
00620	PA4333	Pyruvate metabolism
00620	PA4470	Pyruvate metabolism
00620	PA4640	Pyruvate metabolism
00620	PA4733	Pyruvate metabolism
00620	PA4771	Pyruvate metabolism
00620	PA4785	Pyruvate metabolism
00620	PA4829	Pyruvate metabolism
00620	PA4847	Pyruvate metabolism
00620	PA4848	Pyruvate metabolism
00620	PA4872	Pyruvate metabolism
00620	PA4899	Pyruvate metabolism
00620	PA5015	Pyruvate metabolism
00620	PA5016	Pyruvate metabolism
00620	PA5046	Pyruvate metabolism
00620	PA5111	Pyruvate metabolism
00620	PA5192	Pyruvate metabolism
00620	PA5297	Pyruvate metabolism
00620	PA5435	Pyruvate metabolism
00620	PA5436	Pyruvate metabolism
00620	PA5445	Pyruvate metabolism
00622	PA2083	Xylene degradation
00622	PA2515	Xylene degradation
00622	PA2516	Xylene degradation
00622	PA2517	Xylene degradation
00622	PA2518	Xylene degradation
00623	PA2507	Toluene degradation
00623	PA2509	Toluene degradation
00623	PA2682	Toluene degradation
00625	PA0810	Chloroalkane and chloroalkene degradation
00625	PA1027	Chloroalkane and chloroalkene degradation
00625	PA1982	Chloroalkane and chloroalkene degradation
00625	PA2086	Chloroalkane and chloroalkene degradation
00625	PA3629	Chloroalkane and chloroalkene degradation
00625	PA4899	Chloroalkane and chloroalkene degradation
00625	PA5421	Chloroalkane and chloroalkene degradation
00625	PA5427	Chloroalkane and chloroalkene degradation
00626	PA3629	Naphthalene degradation
00626	PA5427	Naphthalene degradation
00627	PA0202	Aminobenzoate degradation
00627	PA0704	Aminobenzoate degradation
00627	PA0954	Aminobenzoate degradation
00627	PA1629	Aminobenzoate degradation
00627	PA1748	Aminobenzoate degradation
00627	PA1821	Aminobenzoate degradation
00627	PA2512	Aminobenzoate degradation
00627	PA2513	Aminobenzoate degradation
00627	PA2514	Aminobenzoate degradation
00627	PA3366	Aminobenzoate degradation
00627	PA3426	Aminobenzoate degradation
00627	PA4019	Aminobenzoate degradation
00627	PA4163	Aminobenzoate degradation
00627	PA4342	Aminobenzoate degradation
00627	PA4901	Aminobenzoate degradation
00627	PA4904	Aminobenzoate degradation
00627	PA4905	Aminobenzoate degradation
00630	PA0065	Glyoxylate and dicarboxylate metabolism
00630	PA0296	Glyoxylate and dicarboxylate metabolism
00630	PA0298	Glyoxylate and dicarboxylate metabolism
00630	PA0482	Glyoxylate and dicarboxylate metabolism
00630	PA0608	Glyoxylate and dicarboxylate metabolism
00630	PA0887	Glyoxylate and dicarboxylate metabolism
00630	PA1052	Glyoxylate and dicarboxylate metabolism
00630	PA1499	Glyoxylate and dicarboxylate metabolism
00630	PA1500	Glyoxylate and dicarboxylate metabolism
00630	PA1501	Glyoxylate and dicarboxylate metabolism
00630	PA1502	Glyoxylate and dicarboxylate metabolism
00630	PA1562	Glyoxylate and dicarboxylate metabolism
00630	PA1566	Glyoxylate and dicarboxylate metabolism
00630	PA1580	Glyoxylate and dicarboxylate metabolism
00630	PA1587	Glyoxylate and dicarboxylate metabolism
00630	PA1736	Glyoxylate and dicarboxylate metabolism
00630	PA1787	Glyoxylate and dicarboxylate metabolism
00630	PA2001	Glyoxylate and dicarboxylate metabolism
00630	PA2040	Glyoxylate and dicarboxylate metabolism
00630	PA2081	Glyoxylate and dicarboxylate metabolism
00630	PA2147	Glyoxylate and dicarboxylate metabolism
00630	PA2250	Glyoxylate and dicarboxylate metabolism
00630	PA2442	Glyoxylate and dicarboxylate metabolism
00630	PA2444	Glyoxylate and dicarboxylate metabolism
00630	PA2445	Glyoxylate and dicarboxylate metabolism
00630	PA2446	Glyoxylate and dicarboxylate metabolism
00630	PA2553	Glyoxylate and dicarboxylate metabolism
00630	PA2555	Glyoxylate and dicarboxylate metabolism
00630	PA2634	Glyoxylate and dicarboxylate metabolism
00630	PA2974	Glyoxylate and dicarboxylate metabolism
00630	PA3131	Glyoxylate and dicarboxylate metabolism
00630	PA3181	Glyoxylate and dicarboxylate metabolism
00630	PA3356	Glyoxylate and dicarboxylate metabolism
00630	PA3589	Glyoxylate and dicarboxylate metabolism
00630	PA3896	Glyoxylate and dicarboxylate metabolism
00630	PA3925	Glyoxylate and dicarboxylate metabolism
00630	PA4236	Glyoxylate and dicarboxylate metabolism
00630	PA4314	Glyoxylate and dicarboxylate metabolism
00630	PA4602	Glyoxylate and dicarboxylate metabolism
00630	PA4613	Glyoxylate and dicarboxylate metabolism
00630	PA4626	Glyoxylate and dicarboxylate metabolism
00630	PA4733	Glyoxylate and dicarboxylate metabolism
00630	PA4785	Glyoxylate and dicarboxylate metabolism
00630	PA4810	Glyoxylate and dicarboxylate metabolism
00630	PA4811	Glyoxylate and dicarboxylate metabolism
00630	PA4812	Glyoxylate and dicarboxylate metabolism
00630	PA4829	Glyoxylate and dicarboxylate metabolism
00630	PA5091	Glyoxylate and dicarboxylate metabolism
00630	PA5119	Glyoxylate and dicarboxylate metabolism
00630	PA5213	Glyoxylate and dicarboxylate metabolism
00630	PA5214	Glyoxylate and dicarboxylate metabolism
00630	PA5215	Glyoxylate and dicarboxylate metabolism
00630	PA5353	Glyoxylate and dicarboxylate metabolism
00630	PA5354	Glyoxylate and dicarboxylate metabolism
00630	PA5355	Glyoxylate and dicarboxylate metabolism
00630	PA5415	Glyoxylate and dicarboxylate metabolism
00630	PA5420	Glyoxylate and dicarboxylate metabolism
00630	PA5508	Glyoxylate and dicarboxylate metabolism
00630	PA5522	Glyoxylate and dicarboxylate metabolism
00633	PA1334	Nitrotoluene degradation
00633	PA2932	Nitrotoluene degradation
00640	PA0130	Propanoate metabolism
00640	PA0132	Propanoate metabolism
00640	PA0494	Propanoate metabolism
00640	PA0747	Propanoate metabolism
00640	PA0792	Propanoate metabolism
00640	PA0793	Propanoate metabolism
00640	PA0794	Propanoate metabolism
00640	PA0795	Propanoate metabolism
00640	PA0796	Propanoate metabolism
00640	PA0835	Propanoate metabolism
00640	PA0836	Propanoate metabolism
00640	PA0887	Propanoate metabolism
00640	PA1587	Propanoate metabolism
00640	PA1588	Propanoate metabolism
00640	PA1589	Propanoate metabolism
00640	PA1629	Propanoate metabolism
00640	PA1736	Propanoate metabolism
00640	PA1737	Propanoate metabolism
00640	PA1748	Propanoate metabolism
00640	PA1787	Propanoate metabolism
00640	PA1821	Propanoate metabolism
00640	PA2001	Propanoate metabolism
00640	PA2247	Propanoate metabolism
00640	PA2248	Propanoate metabolism
00640	PA2249	Propanoate metabolism
00640	PA2250	Propanoate metabolism
00640	PA2552	Propanoate metabolism
00640	PA2553	Propanoate metabolism
00640	PA2555	Propanoate metabolism
00640	PA3014	Propanoate metabolism
00640	PA3112	Propanoate metabolism
00640	PA3426	Propanoate metabolism
00640	PA3568	Propanoate metabolism
00640	PA3570	Propanoate metabolism
00640	PA3589	Propanoate metabolism
00640	PA3639	Propanoate metabolism
00640	PA3925	Propanoate metabolism
00640	PA4733	Propanoate metabolism
00640	PA4785	Propanoate metabolism
00640	PA4829	Propanoate metabolism
00640	PA4847	Propanoate metabolism
00640	PA4848	Propanoate metabolism
00640	PA5313	Propanoate metabolism
00643	PA0202	Styrene degradation
00643	PA0226	Styrene degradation
00643	PA0227	Styrene degradation
00643	PA0704	Styrene degradation
00643	PA2007	Styrene degradation
00643	PA2008	Styrene degradation
00643	PA2009	Styrene degradation
00643	PA2473	Styrene degradation
00643	PA3366	Styrene degradation
00643	PA4073	Styrene degradation
00643	PA4163	Styrene degradation
00643	PA4342	Styrene degradation
00650	PA0226	Butanoate metabolism
00650	PA0227	Butanoate metabolism
00650	PA0265	Butanoate metabolism
00650	PA0266	Butanoate metabolism
00650	PA1146	Butanoate metabolism
00650	PA1417	Butanoate metabolism
00650	PA1581	Butanoate metabolism
00650	PA1582	Butanoate metabolism
00650	PA1583	Butanoate metabolism
00650	PA1584	Butanoate metabolism
00650	PA1628	Butanoate metabolism
00650	PA1629	Butanoate metabolism
00650	PA1736	Butanoate metabolism
00650	PA1737	Butanoate metabolism
00650	PA1748	Butanoate metabolism
00650	PA1821	Butanoate metabolism
00650	PA1997	Butanoate metabolism
00650	PA1999	Butanoate metabolism
00650	PA2000	Butanoate metabolism
00650	PA2001	Butanoate metabolism
00650	PA2003	Butanoate metabolism
00650	PA2011	Butanoate metabolism
00650	PA2035	Butanoate metabolism
00650	PA2552	Butanoate metabolism
00650	PA2553	Butanoate metabolism
00650	PA2950	Butanoate metabolism
00650	PA3014	Butanoate metabolism
00650	PA3426	Butanoate metabolism
00650	PA3506	Butanoate metabolism
00650	PA3589	Butanoate metabolism
00650	PA3590	Butanoate metabolism
00650	PA3925	Butanoate metabolism
00650	PA4097	Butanoate metabolism
00650	PA4148	Butanoate metabolism
00650	PA4153	Butanoate metabolism
00650	PA4180	Butanoate metabolism
00650	PA4695	Butanoate metabolism
00650	PA4696	Butanoate metabolism
00650	PA4785	Butanoate metabolism
00650	PA5056	Butanoate metabolism
00650	PA5058	Butanoate metabolism
00650	PA5445	Butanoate metabolism
00660	PA0878	C5-Branched dibasic acid metabolism
00660	PA0882	C5-Branched dibasic acid metabolism
00660	PA0883	C5-Branched dibasic acid metabolism
00660	PA1417	C5-Branched dibasic acid metabolism
00660	PA1588	C5-Branched dibasic acid metabolism
00660	PA1589	C5-Branched dibasic acid metabolism
00660	PA2035	C5-Branched dibasic acid metabolism
00660	PA3118	C5-Branched dibasic acid metabolism
00660	PA3120	C5-Branched dibasic acid metabolism
00660	PA3121	C5-Branched dibasic acid metabolism
00660	PA3506	C5-Branched dibasic acid metabolism
00660	PA4180	C5-Branched dibasic acid metabolism
00660	PA4695	C5-Branched dibasic acid metabolism
00660	PA4696	C5-Branched dibasic acid metabolism
00670	PA0018	One carbon pool by folate
00670	PA0342	One carbon pool by folate
00670	PA0350	One carbon pool by folate
00670	PA0430	One carbon pool by folate
00670	PA0944	One carbon pool by folate
00670	PA1796	One carbon pool by folate
00670	PA1843	One carbon pool by folate
00670	PA2442	One carbon pool by folate
00670	PA2444	One carbon pool by folate
00670	PA3437	One carbon pool by folate
00670	PA3751	One carbon pool by folate
00670	PA4314	One carbon pool by folate
00670	PA4602	One carbon pool by folate
00670	PA4854	One carbon pool by folate
00670	PA5215	One carbon pool by folate
00670	PA5228	One carbon pool by folate
00670	PA5415	One carbon pool by folate
00670	PA5420	One carbon pool by folate
00680	PA0316	Methane metabolism
00680	PA0555	Methane metabolism
00680	PA0835	Methane metabolism
00680	PA0836	Methane metabolism
00680	PA0887	Methane metabolism
00680	PA1499	Methane metabolism
00680	PA1757	Methane metabolism
00680	PA1770	Methane metabolism
00680	PA2444	Methane metabolism
00680	PA2555	Methane metabolism
00680	PA3167	Methane metabolism
00680	PA3628	Methane metabolism
00680	PA3629	Methane metabolism
00680	PA3635	Methane metabolism
00680	PA3687	Methane metabolism
00680	PA4602	Methane metabolism
00680	PA4626	Methane metabolism
00680	PA4733	Methane metabolism
00680	PA4810	Methane metabolism
00680	PA4811	Methane metabolism
00680	PA4812	Methane metabolism
00680	PA4960	Methane metabolism
00680	PA5110	Methane metabolism
00680	PA5131	Methane metabolism
00680	PA5415	Methane metabolism
00680	PA5421	Methane metabolism
00730	PA0381	Thiamine metabolism
00730	PA2062	Thiamine metabolism
00730	PA3296	Thiamine metabolism
00730	PA3686	Thiamine metabolism
00730	PA3814	Thiamine metabolism
00730	PA3975	Thiamine metabolism
00730	PA3976	Thiamine metabolism
00730	PA4044	Thiamine metabolism
00730	PA4051	Thiamine metabolism
00730	PA4548	Thiamine metabolism
00730	PA4952	Thiamine metabolism
00730	PA4973	Thiamine metabolism
00730	PA5118	Thiamine metabolism
00740	PA0190	Riboflavin metabolism
00740	PA1274	Riboflavin metabolism
00740	PA2357	Riboflavin metabolism
00740	PA3446	Riboflavin metabolism
00740	PA4047	Riboflavin metabolism
00740	PA4053	Riboflavin metabolism
00740	PA4054	Riboflavin metabolism
00740	PA4055	Riboflavin metabolism
00740	PA4056	Riboflavin metabolism
00740	PA4092	Riboflavin metabolism
00740	PA4561	Riboflavin metabolism
00740	PA5281	Riboflavin metabolism
00750	PA0551	Vitamin B6 metabolism
00750	PA0593	Vitamin B6 metabolism
00750	PA0773	Vitamin B6 metabolism
00750	PA1049	Vitamin B6 metabolism
00750	PA1375	Vitamin B6 metabolism
00750	PA2212	Vitamin B6 metabolism
00750	PA3167	Vitamin B6 metabolism
00750	PA3735	Vitamin B6 metabolism
00750	PA5516	Vitamin B6 metabolism
00760	PA0143	Nicotinate and nicotinamide metabolism
00760	PA0195	Nicotinate and nicotinamide metabolism
00760	PA0195.1	Nicotinate and nicotinamide metabolism
00760	PA0196	Nicotinate and nicotinamide metabolism
00760	PA0265	Nicotinate and nicotinamide metabolism
00760	PA0761	Nicotinate and nicotinamide metabolism
00760	PA0935	Nicotinate and nicotinamide metabolism
00760	PA1004	Nicotinate and nicotinamide metabolism
00760	PA1125	Nicotinate and nicotinamide metabolism
00760	PA1197	Nicotinate and nicotinamide metabolism
00760	PA1602	Nicotinate and nicotinamide metabolism
00760	PA1823	Nicotinate and nicotinamide metabolism
00760	PA2991	Nicotinate and nicotinamide metabolism
00760	PA3088	Nicotinate and nicotinamide metabolism
00760	PA3505	Nicotinate and nicotinamide metabolism
00760	PA3618	Nicotinate and nicotinamide metabolism
00760	PA3625	Nicotinate and nicotinamide metabolism
00760	PA4006	Nicotinate and nicotinamide metabolism
00760	PA4376	Nicotinate and nicotinamide metabolism
00760	PA4524	Nicotinate and nicotinamide metabolism
00760	PA4918	Nicotinate and nicotinamide metabolism
00760	PA4919	Nicotinate and nicotinamide metabolism
00760	PA4920	Nicotinate and nicotinamide metabolism
00760	PA5177	Nicotinate and nicotinamide metabolism
00770	PA0353	Pantothenate and CoA biosynthesis
00770	PA0363	Pantothenate and CoA biosynthesis
00770	PA0439	Pantothenate and CoA biosynthesis
00770	PA0440	Pantothenate and CoA biosynthesis
00770	PA0441	Pantothenate and CoA biosynthesis
00770	PA0935	Pantothenate and CoA biosynthesis
00770	PA1417	Pantothenate and CoA biosynthesis
00770	PA1598	Pantothenate and CoA biosynthesis
00770	PA1752	Pantothenate and CoA biosynthesis
00770	PA2035	Pantothenate and CoA biosynthesis
00770	PA3506	Pantothenate and CoA biosynthesis
00770	PA4180	Pantothenate and CoA biosynthesis
00770	PA4279	Pantothenate and CoA biosynthesis
00770	PA4353	Pantothenate and CoA biosynthesis
00770	PA4397	Pantothenate and CoA biosynthesis
00770	PA4529	Pantothenate and CoA biosynthesis
00770	PA4694	Pantothenate and CoA biosynthesis
00770	PA4695	Pantothenate and CoA biosynthesis
00770	PA4696	Pantothenate and CoA biosynthesis
00770	PA4729	Pantothenate and CoA biosynthesis
00770	PA4730	Pantothenate and CoA biosynthesis
00770	PA4731	Pantothenate and CoA biosynthesis
00770	PA5013	Pantothenate and CoA biosynthesis
00770	PA5320	Pantothenate and CoA biosynthesis
00780	PA0098	Biotin metabolism
00780	PA0182	Biotin metabolism
00780	PA0420	Biotin metabolism
00780	PA0500	Biotin metabolism
00780	PA0501	Biotin metabolism
00780	PA0502	Biotin metabolism
00780	PA0503	Biotin metabolism
00780	PA0504	Biotin metabolism
00780	PA1373	Biotin metabolism
00780	PA1470	Biotin metabolism
00780	PA1609	Biotin metabolism
00780	PA1806	Biotin metabolism
00780	PA1827	Biotin metabolism
00780	PA2965	Biotin metabolism
00780	PA2967	Biotin metabolism
00780	PA3645	Biotin metabolism
00780	PA4089	Biotin metabolism
00780	PA4280	Biotin metabolism
00780	PA4389	Biotin metabolism
00780	PA4786	Biotin metabolism
00780	PA5524	Biotin metabolism
00785	PA3996	Lipoic acid metabolism
00785	PA3997	Lipoic acid metabolism
00790	PA0350	Folate biosynthesis
00790	PA0582	Folate biosynthesis
00790	PA0583	Folate biosynthesis
00790	PA0871	Folate biosynthesis
00790	PA0872	Folate biosynthesis
00790	PA0975	Folate biosynthesis
00790	PA0976	Folate biosynthesis
00790	PA1505	Folate biosynthesis
00790	PA1674	Folate biosynthesis
00790	PA1758	Folate biosynthesis
00790	PA2666	Folate biosynthesis
00790	PA2806	Folate biosynthesis
00790	PA2964	Folate biosynthesis
00790	PA3028	Folate biosynthesis
00790	PA3029	Folate biosynthesis
00790	PA3030	Folate biosynthesis
00790	PA3111	Folate biosynthesis
00790	PA3296	Folate biosynthesis
00790	PA3437	Folate biosynthesis
00790	PA3438	Folate biosynthesis
00790	PA3439	Folate biosynthesis
00790	PA3870	Folate biosynthesis
00790	PA3910	Folate biosynthesis
00790	PA3914	Folate biosynthesis
00790	PA3915	Folate biosynthesis
00790	PA3916	Folate biosynthesis
00790	PA3918	Folate biosynthesis
00790	PA4047	Folate biosynthesis
00790	PA4054	Folate biosynthesis
00790	PA4728	Folate biosynthesis
00790	PA4750	Folate biosynthesis
00790	PA5539	Folate biosynthesis
00860	PA0024	Porphyrin and chlorophyll metabolism
00860	PA0112	Porphyrin and chlorophyll metabolism
00860	PA0113	Porphyrin and chlorophyll metabolism
00860	PA0510	Porphyrin and chlorophyll metabolism
00860	PA0511	Porphyrin and chlorophyll metabolism
00860	PA0661	Porphyrin and chlorophyll metabolism
00860	PA0672	Porphyrin and chlorophyll metabolism
00860	PA1272	Porphyrin and chlorophyll metabolism
00860	PA1273	Porphyrin and chlorophyll metabolism
00860	PA1275	Porphyrin and chlorophyll metabolism
00860	PA1276	Porphyrin and chlorophyll metabolism
00860	PA1277	Porphyrin and chlorophyll metabolism
00860	PA1278	Porphyrin and chlorophyll metabolism
00860	PA1279	Porphyrin and chlorophyll metabolism
00860	PA1280	Porphyrin and chlorophyll metabolism
00860	PA1281	Porphyrin and chlorophyll metabolism
00860	PA1321	Porphyrin and chlorophyll metabolism
00860	PA1546	Porphyrin and chlorophyll metabolism
00860	PA1778	Porphyrin and chlorophyll metabolism
00860	PA1923	Porphyrin and chlorophyll metabolism
00860	PA2611	Porphyrin and chlorophyll metabolism
00860	PA2903	Porphyrin and chlorophyll metabolism
00860	PA2904	Porphyrin and chlorophyll metabolism
00860	PA2905	Porphyrin and chlorophyll metabolism
00860	PA2906	Porphyrin and chlorophyll metabolism
00860	PA2907	Porphyrin and chlorophyll metabolism
00860	PA2908	Porphyrin and chlorophyll metabolism
00860	PA2909	Porphyrin and chlorophyll metabolism
00860	PA2942	Porphyrin and chlorophyll metabolism
00860	PA2944	Porphyrin and chlorophyll metabolism
00860	PA2947	Porphyrin and chlorophyll metabolism
00860	PA2948	Porphyrin and chlorophyll metabolism
00860	PA3134	Porphyrin and chlorophyll metabolism
00860	PA3531	Porphyrin and chlorophyll metabolism
00860	PA3977	Porphyrin and chlorophyll metabolism
00860	PA4088	Porphyrin and chlorophyll metabolism
00860	PA4235	Porphyrin and chlorophyll metabolism
00860	PA4399	Porphyrin and chlorophyll metabolism
00860	PA4655	Porphyrin and chlorophyll metabolism
00860	PA4666	Porphyrin and chlorophyll metabolism
00860	PA4880	Porphyrin and chlorophyll metabolism
00860	PA5034	Porphyrin and chlorophyll metabolism
00860	PA5243	Porphyrin and chlorophyll metabolism
00860	PA5258	Porphyrin and chlorophyll metabolism
00860	PA5259	Porphyrin and chlorophyll metabolism
00860	PA5260	Porphyrin and chlorophyll metabolism
00860	PA5523	Porphyrin and chlorophyll metabolism
00900	PA1736	Terpenoid backbone biosynthesis
00900	PA2001	Terpenoid backbone biosynthesis
00900	PA2553	Terpenoid backbone biosynthesis
00900	PA3589	Terpenoid backbone biosynthesis
00900	PA3627	Terpenoid backbone biosynthesis
00900	PA3633	Terpenoid backbone biosynthesis
00900	PA3650	Terpenoid backbone biosynthesis
00900	PA3652	Terpenoid backbone biosynthesis
00900	PA3803	Terpenoid backbone biosynthesis
00900	PA3925	Terpenoid backbone biosynthesis
00900	PA4043	Terpenoid backbone biosynthesis
00900	PA4044	Terpenoid backbone biosynthesis
00900	PA4557	Terpenoid backbone biosynthesis
00900	PA4569	Terpenoid backbone biosynthesis
00900	PA4669	Terpenoid backbone biosynthesis
